"date","year","title","artist","main_artist","peak_pos","last_pos","weeks","rank","change","genre","broad_genre","energy","liveness","tempo","speechiness","acousticness","instrumentalness","time_signature","danceability","key","duration_ms","loudness","valence","mode","month","seasons"
2017-12-31,2017,"No Limit","g-eazy","g-eazy",4,5,16,4,"1","[u'indie pop rap', u'rap']","rap",0.771,0.0853,175.957,0.244,0.0117,"0","4",0.838,"1",245387,-3.791,0.405,"1","Dec","Winter"
2017-12-31,2017,"Perfect","ed sheeran","ed sheeran",1,1,18,1,"0","[u'pop']","pop",0.299,0.123,94.992,0.0263,0.779,"0","3",0.587,"8",259550,-7.365,0.356,"1","Dec","Winter"
2017-12-31,2017,"Plain Jane","a$ap ferg","a$ap ferg",26,26,14,31,"-5","[u'hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music', u'underground hip hop']","rap",0.844,0.087,170.142,0.275,0.0651,"0","4",0.797,"11",173600,-5.482,0.52,"1","Dec","Winter"
2017-12-31,2017,"Rockin' Around The Christmas Tree","brenda lee","brenda lee",14,30,22,36,"-6","[u'adult standards', u'brill building pop', u'christmas', u'easy listening', u'lounge', u'nashville sound', u'rockabilly', u'traditional country']","country",0.56,0.462,141.285,0.0611,0.652,"0","4",0.676,"8",124520,-6.281,0.828,"1","Dec","Winter"
2017-12-31,2017,"Rockstar","post malone","post malone",1,2,15,2,"0","[u'pop', u'rap']","rap",0.535,0.143,159.764,0.0776,0.13,"0.00013","4",0.575,"5",218320,-6.637,0.127,"0","Dec","Winter"
2017-12-31,2017,"Shape Of You","ed sheeran","ed sheeran",1,24,51,19,"5","[u'pop']","pop",0.652,0.0931,95.977,0.0802,0.581,"0","4",0.825,"1",233713,-3.183,0.931,"0","Dec","Winter"
2017-12-31,2017,"Silence","marshmello","marshmello",30,39,20,44,"-5","[u'brostep', u'progressive electro house']","edm",0.761,0.17,141.971,0.0853,0.256,"4.96E-06","4",0.52,"4",180823,-3.093,0.286,"1","Dec","Winter"
2017-12-31,2017,"Sky Walker","miguel","miguel",35,41,14,41,"0","[u'dance pop', u'indie r&b', u'pop', u'pop rap', u'r&b', u'rap']","r&b",0.506,0.0866,145.965,0.0434,0.173,"0","4",0.674,"6",259333,-10.532,0.183,"1","Dec","Winter"
2017-12-31,2017,"Sorry Not Sorry","demi lovato","demi lovato",6,21,25,20,"1","[u'dance pop', u'pop', u'post-teen pop']","pop",0.635,0.283,144.004,0.265,0.0223,"0","4",0.702,"11",203760,-6.917,0.873,"0","Dec","Winter"
2017-12-31,2017,"That's What I Like","bruno mars","bruno mars",1,48,50,37,"11","[u'dance pop', u'pop', u'post-teen pop']","pop",0.56,0.0944,134.066,0.0406,0.013,"0","4",0.853,"1",206693,-4.961,0.86,"1","Dec","Winter"
2017-12-31,2017,"The Way Life Goes","lil uzi vert","lil uzi vert",24,27,18,35,"-8","[u'pop', u'rap', u'trap music']","rap",0.757,0.106,82.008,0.05,0.617,"0","4",0.703,"1",221747,-3.612,0.696,"1","Dec","Winter"
2017-12-31,2017,"The Weekend","sza","sza",29,29,22,33,"-4","[u'indie r&b', u'pop', u'r&b', u'rap']","r&b",0.573,0.126,101.925,0.0585,0.495,"0","4",0.775,"11",171806,-4.933,0.667,"1","Dec","Winter"
2017-12-31,2017,"Thunder","imagine dragons","imagine dragons",4,6,35,5,"1","[u'modern rock', u'vegas indie']","rock",0.809,0.145,167.96,0.0441,0.00763,"0.0757","4",0.601,"0",187147,-4.814,0.249,"1","Dec","Winter"
2017-12-31,2017,"Too Good At Goodbyes","sam smith","sam smith",4,8,16,8,"0","[u'pop', u'post-teen pop']","pop",0.373,0.177,91.5,0.0505,0.615,"0","4",0.661,"5",201000,-8.249,0.523,"1","Dec","Winter"
2017-12-31,2017,"Unforgettable","french montana","french montana",3,47,38,47,"0","[u'hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']","rap",0.769,0.104,97.985,0.123,0.0293,"0.0101","4",0.726,"6",233902,-5.043,0.733,"1","Dec","Winter"
2017-12-31,2017,"What About Us","p!nk","p!nk",13,62,21,48,"14","[u'dance pop', u'pop', u'post-teen pop', u'r&b']","r&b",0.588,0.0906,113.617,0.0507,0.0285,"2.11E-06","4",0.489,"1",269600,-6.177,0.187,"1","Dec","Winter"
2017-12-31,2017,"What Lovers Do","maroon 5","maroon 5",9,17,18,21,"-4","[u'pop']","pop",0.612,0.0852,109.959,0.0693,0.0805,"3.83E-06","4",0.792,"5",199849,-5.212,0.42,"0","Dec","Winter"
2017-12-31,2017,"Young Dumb & Broke","khalid","khalid",18,33,24,18,"15","[u'indie r&b', u'pop', u'rap']","r&b",0.539,0.165,136.949,0.0421,0.199,"1.66E-05","4",0.798,"1",202547,-6.351,0.394,"1","Dec","Winter"
2017-12-30,2017,"Humble.","kendrick lamar","kendrick lamar",1,50,37,47,"3","[u'hip hop', u'pop rap', u'rap', u'west coast rap']","rap",0.611,0.0976,150.02,0.0888,0.000259,"2.03E-05","4",0.904,"1",177000,-6.842,0.4,"0","Dec","Winter"
2017-12-30,2017,"There's Nothing Holdin' Me Back","shawn mendes","shawn mendes",6,46,34,48,"-2","[u'canadian pop', u'pop', u'post-teen pop', u'viral pop']","pop",0.799,0.091,121.991,0.0589,0.357,"0","4",0.858,"2",199440,-4.034,0.966,"1","Dec","Winter"
2017-12-21,2017,"Congratulations","post malone","post malone",8,45,50,49,"-4","[u'pop', u'rap']","rap",0.812,0.212,123.071,0.0358,0.198,"0","4",0.627,"6",220293,-4.215,0.504,"1","Dec","Winter"
2017-12-21,2017,"Shape Of You","ed sheeran","ed sheeran",1,26,48,25,"1","[u'pop']","pop",0.652,0.0931,95.977,0.0802,0.581,"0","4",0.825,"1",233713,-3.183,0.931,"0","Dec","Winter"
2017-12-21,2017,"Despacito","luis fonsi","luis fonsi",1,23,47,32,"-9","[u'latin', u'latin pop', u'pop']","pop",0.815,0.091,88.357,0.152,0.222,"0","4",0.63,"2",228827,-4.265,0.813,"1","Dec","Winter"
2017-12-21,2017,"That's What I Like","bruno mars","bruno mars",1,37,47,40,"-3","[u'dance pop', u'pop', u'post-teen pop']","pop",0.56,0.0944,134.066,0.0406,0.013,"0","4",0.853,"1",206693,-4.961,0.86,"1","Dec","Winter"
2017-12-21,2017,"Believer","imagine dragons","imagine dragons",4,25,44,30,"-5","[u'modern rock', u'vegas indie']","rock",0.78,0.118,124.953,0.102,0.0492,"0","4",0.784,"10",204347,-4.275,0.722,"0","Dec","Winter"
2017-12-21,2017,"Humble.","kendrick lamar","kendrick lamar",1,47,36,50,"-3","[u'hip hop', u'pop rap', u'rap', u'west coast rap']","rap",0.611,0.0976,150.02,0.0888,0.000259,"2.03E-05","4",0.904,"1",177000,-6.842,0.4,"0","Dec","Winter"
2017-12-21,2017,"Unforgettable","french montana","french montana",3,24,35,34,"-10","[u'hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']","rap",0.769,0.104,97.985,0.123,0.0293,"0.0101","4",0.726,"6",233902,-5.043,0.733,"1","Dec","Winter"
2017-12-21,2017,"Attention","charlie puth","charlie puth",5,30,33,36,"-6","[u'dance pop', u'pop', u'post-teen pop', u'viral pop']","pop",0.626,0.0848,100.041,0.0432,0.0969,"3.12E-05","4",0.774,"3",211475,-4.432,0.777,"0","Dec","Winter"
2017-12-21,2017,"There's Nothing Holdin' Me Back","shawn mendes","shawn mendes",6,42,33,46,"-4","[u'canadian pop', u'pop', u'post-teen pop', u'viral pop']","pop",0.799,0.091,121.991,0.0589,0.357,"0","4",0.858,"2",199440,-4.034,0.966,"1","Dec","Winter"
2017-12-21,2017,"Thunder","imagine dragons","imagine dragons",4,5,32,5,"0","[u'modern rock', u'vegas indie']","rock",0.809,0.145,167.96,0.0441,0.00763,"0.0757","4",0.601,"0",187147,-4.814,0.249,"1","Dec","Winter"
2017-12-21,2017,"1-800-273-8255","logic","logic",3,14,32,19,"-5","[u'rap']","rap",0.572,0.192,100.015,0.0387,0.57,"0","4",0.629,"5",250173,-7.733,0.386,"0","Dec","Winter"
2017-12-21,2017,"Feel It Still","portugal. the man","portugal the man",4,10,25,12,"-2","[u'modern rock', u'neo-psychedelic']","rock",0.795,0.0717,79.028,0.0504,0.0417,"0.000113","4",0.801,"1",163253,-5.115,0.754,"0","Dec","Winter"
2017-12-21,2017,"Love.","kendrick lamar","kendrick lamar",18,27,24,27,"0","[u'hip hop', u'pop rap', u'rap', u'west coast rap']","rap",0.582,0.153,126.075,0.103,0.29,"0","4",0.798,"10",213400,-7.38,0.766,"1","Dec","Winter"
2017-12-21,2017,"Bodak Yellow (Money Moves)","cardi b","cardi b",1,7,23,9,"-2","[u'pop']","pop",0.703,0.231,125.022,0.103,0.0659,"0","4",0.926,"11",223713,-6.337,0.485,"0","Dec","Winter"
2017-12-21,2017,"Mi Gente","j balvin","j balvin",3,13,23,18,"-5","[u'latin', u'reggaeton']","unknown",0.678,0.128,102.681,0.0998,0.0164,"1.31E-05","4",0.535,"11",189440,-4.906,0.287,"0","Dec","Winter"
2017-12-21,2017,"Sorry Not Sorry","demi lovato","demi lovato",6,12,22,16,"-4","[u'dance pop', u'pop', u'post-teen pop']","pop",0.635,0.283,144.004,0.265,0.0223,"0","4",0.702,"11",203760,-6.917,0.873,"0","Dec","Winter"
2017-12-21,2017,"Bank Account","21 savage","21 savage",12,18,22,24,"-6","[u'pop', u'rap', u'trap music']","rap",0.346,0.0871,75.016,0.351,0.0151,"7.04E-06","4",0.884,"8",220307,-8.228,0.376,"0","Dec","Winter"
2017-12-21,2017,"All I Want For Christmas Is You","mariah carey","mariah carey",11,21,21,11,"10","[u'dance pop', u'hip pop', u'pop', u'pop rap', u'post-teen pop', u'r&b', u'urban contemporary']","r&b",0.625,0.0708,150.277,0.0386,0.164,"0","4",0.335,"7",241107,-7.462,0.346,"1","Dec","Winter"
2017-12-21,2017,"Young Dumb & Broke","khalid","khalid",22,22,21,28,"-6","[u'indie r&b', u'pop', u'rap']","r&b",0.539,0.165,136.949,0.0421,0.199,"1.66E-05","4",0.798,"1",202547,-6.351,0.394,"1","Dec","Winter"
2017-12-21,2017,"New Rules","dua lipa","dua lipa",15,15,19,17,"-2","[u'dance pop', u'pop', u'post-teen pop']","pop",0.696,0.179,116.054,0.0755,0.00256,"9.71E-06","4",0.771,"9",208827,-6.258,0.656,"0","Dec","Winter"
2017-12-21,2017,"Rockin' Around The Christmas Tree","brenda lee","brenda lee",14,0,19,37,"Re-Entry","[u'adult standards', u'brill building pop', u'christmas', u'easy listening', u'lounge', u'nashville sound', u'rockabilly', u'traditional country']","country",0.56,0.462,141.285,0.0611,0.652,"0","4",0.676,"8",124520,-6.281,0.828,"1","Dec","Winter"
2017-12-21,2017,"The Weekend","sza","sza",37,38,19,38,"0","[u'indie r&b', u'pop', u'r&b', u'rap']","r&b",0.573,0.126,101.925,0.0585,0.495,"0","4",0.775,"11",171806,-4.933,0.667,"1","Dec","Winter"
2017-12-21,2017,"Havana","camila cabello","camila cabello",2,2,17,3,"-1","[u'dance pop', u'pop', u'post-teen pop']","pop",0.523,0.132,104.988,0.03,0.184,"3.56E-05","4",0.765,"2",217307,-4.333,0.394,"1","Dec","Winter"
2017-12-21,2017,"Silence","marshmello","marshmello",33,36,17,33,"3","[u'brostep', u'progressive electro house']","edm",0.761,0.17,141.971,0.0853,0.256,"4.96E-06","4",0.52,"4",180823,-3.093,0.286,"1","Dec","Winter"
2017-12-21,2017,"I Get The Bag","gucci mane","gucci mane",11,16,16,14,"2","[u'dirty south rap', u'hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']","rap",0.633,0.0993,139.948,0.168,0.0232,"0.000343","4",0.89,"11",233087,-5.475,0.425,"1","Dec","Winter"
2017-12-21,2017,"Perfect","ed sheeran","ed sheeran",1,3,15,1,"2","[u'pop']","pop",0.299,0.123,94.992,0.0263,0.779,"0","3",0.587,"8",259550,-7.365,0.356,"1","Dec","Winter"
2017-12-21,2017,"What Lovers Do","maroon 5","maroon 5",9,9,15,10,"-1","[u'pop']","pop",0.612,0.0852,109.959,0.0693,0.0805,"3.83E-06","4",0.792,"5",199849,-5.212,0.42,"0","Dec","Winter"
2017-12-21,2017,"The Way Life Goes","lil uzi vert","lil uzi vert",29,39,15,29,"10","[u'pop', u'rap', u'trap music']","rap",0.757,0.106,82.008,0.05,0.617,"0","4",0.703,"1",221747,-3.612,0.696,"1","Dec","Winter"
2017-12-21,2017,"Bad At Love","halsey","halsey",8,11,14,8,"3","[u'dance pop', u'etherpop', u'indie poptimism', u'pop', u'post-teen pop']","rock",0.736,0.0879,118.369,0.0302,0.06,"0","4",0.675,"0",181279,-3.604,0.607,"1","Dec","Winter"
2017-12-21,2017,"...Ready For It?","taylor swift","taylor swift",4,31,14,43,"-12","[u'dance pop', u'pop', u'post-teen pop']","pop",0.776,0.155,160.053,0.127,0.0609,"0","4",0.616,"2",208187,-6.519,0.459,"1","Dec","Winter"
2017-12-16,2017,"Slow Hands","niall horan","niall horan",11,40,31,50,"-10","[u'pop', u'post-teen pop']","pop",0.429,0.0574,85.899,0.0519,0.0133,"0","4",0.726,"0",188174,-6.623,0.871,"1","Dec","Winter"
2017-12-16,2017,"Strip That Down","liam payne","liam payne",10,36,28,41,"-5","[u'dance pop', u'pop', u'post-teen pop']","pop",0.488,0.0767,106.008,0.0537,0.221,"0","4",0.87,"6",204502,-5.586,0.519,"1","Dec","Winter"
2017-12-16,2017,"Do Re Mi","blackbear","blackbear",40,41,25,44,"-3","[u'pop']","pop",0.599,0.126,110.977,0.0465,0.00419,"1.02E-05","3",0.742,"8",212027,-6.256,0.154,"1","Dec","Winter"
2017-12-16,2017,"Rake It Up","yo gotti","yo gotti",8,27,22,34,"-7","[u'dirty south rap', u'dwn trap', u'gangster rap', u'hip hop', u'memphis hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']","rap",0.444,0.137,149.953,0.344,0.022,"0","4",0.91,"1",276333,-8.126,0.53,"0","Dec","Winter"
2017-12-16,2017,"Praying","kesha","kesha",22,26,21,35,"-9","[u'dance pop', u'pop', u'pop rap', u'post-teen pop']","rap",0.381,0.109,73.483,0.0302,0.48,"0","4",0.565,"10",230269,-7.204,0.325,"1","Dec","Winter"
2017-12-02,2017,"Something Just Like This","the chainsmokers","the chainsmokers",3,42,39,49,"-7","[u'edm', u'pop', u'tropical house']","edm",0.649,0.174,102.996,0.0362,0.0306,"2.46E-05","4",0.607,"11",247627,-6.695,0.505,"0","Dec","Winter"
2017-12-02,2017,"XO TOUR Llif3","lil uzi vert","lil uzi vert",7,45,34,48,"-3","[u'pop', u'rap', u'trap music']","rap",0.75,0.109,155.096,0.231,0.00264,"0","4",0.732,"11",182707,-6.366,0.401,"0","Dec","Winter"
2017-12-02,2017,"What Ifs","kane brown","kane brown",26,39,23,43,"-4","[u'contemporary country', u'country road']","country",0.799,0.172,125.976,0.0275,0.00898,"0","4",0.612,"10",188253,-4.603,0.687,"1","Dec","Winter"
2017-12-02,2017,"Crew","goldlink","goldlink",45,51,21,50,"1","[u'hip hop', u'indie r&b', u'pop', u'pop rap', u'rap', u'underground hip hop']","r&b",0.607,0.0864,129.938,0.132,0.133,"0","4",0.728,"1",176702,-8.417,0.445,"0","Dec","Winter"
2017-11-25,2017,"Body Like A Back Road","sam hunt","sam hunt",6,49,41,49,"0","[u'contemporary country']","country",0.469,0.103,98.963,0.0326,0.463,"1.04E-06","4",0.731,"5",165387,-7.226,0.631,"1","Nov","Fall"
2017-11-25,2017,"Wild Thoughts","dj khaled","dj khaled",2,38,21,48,"-10","[u'dance pop', u'dirty south rap', u'hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']","rap",0.681,0.126,97.621,0.0778,0.0287,"0","4",0.613,"8",204664,-3.089,0.619,"1","Nov","Fall"
2017-11-18,2017,"Location","khalid","khalid",16,43,43,48,"-5","[u'indie r&b', u'pop', u'rap']","r&b",0.449,0.0898,80.126,0.425,0.33,"0.000162","4",0.736,"1",219080,-11.462,0.326,"0","Nov","Fall"
2017-11-11,2017,"Love Galore","sza","sza",32,41,20,48,"-7","[u'indie r&b', u'pop', u'r&b', u'rap']","r&b",0.594,0.162,135.002,0.0747,0.111,"0","4",0.795,"0",275080,-6.2,0.409,"1","Nov","Fall"
2017-11-04,2017,"Say You Won't Let Go","james arthur","james arthur",11,42,52,46,"-4","[u'dance pop', u'pop', u'post-teen pop', u'talent show']","pop",0.557,0.0902,85.043,0.059,0.695,"0","4",0.358,"10",211467,-7.398,0.494,"1","Nov","Fall"
2017-11-04,2017,"No Promises","cheat codes","cheat codes",38,43,23,49,"-6","[u'dance pop', u'edm', u'indie poptimism', u'pop', u'tropical house']","edm",0.619,0.105,112.961,0.162,0.0572,"0","4",0.739,"10",222787,-6.669,0.58,"1","Nov","Fall"
2017-10-28,2017,"Loyalty.","kendrick lamar","kendrick lamar",14,44,26,48,"-4","[u'hip hop', u'pop rap', u'rap', u'west coast rap']","rap",0.541,0.167,110.803,0.055,0.0224,"0","4",0.681,"9",227360,-8.926,0.413,"0","Oct","Fall"
2017-10-21,2017,"Redbone","childish gambino","childish gambino",12,43,44,50,"-7","[u'hip hop', u'pop rap', u'rap']","rap",0.359,0.137,160.083,0.0794,0.199,"0.00611","4",0.743,"1",326933,-10.401,0.587,"1","Oct","Fall"
2017-10-14,2017,"Stay","zedd","zedd",7,42,31,47,"-5","[u'complextro', u'dance pop', u'edm', u'german techno', u'pop', u'tropical house']","edm",0.627,0.116,101.384,0.111,0.238,"0","4",0.457,"5",210091,-5.091,0.554,"0","Oct","Fall"
2017-10-14,2017,"I'm The One","dj khaled","dj khaled",1,39,22,42,"-3","[u'dance pop', u'dirty south rap', u'hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']","rap",0.667,0.134,80.984,0.0367,0.0533,"0","4",0.599,"7",288877,-4.267,0.817,"1","Oct","Fall"
2017-10-07,2017,"Mask Off","future","future",5,46,31,48,"-2","[u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']","rap",0.434,0.165,150.062,0.431,0.0102,"0.0219","4",0.833,"2",204600,-8.795,0.281,"1","Oct","Fall"
2017-09-16,2017,"It Ain't Me","kygo","kygo",10,37,29,44,"-7","[u'edm', u'pop', u'tropical house']","edm",0.532,0.0831,99.983,0.0746,0.0905,"0","4",0.648,"0",220781,-6.597,0.487,"1","Sep","Fall"
2017-09-09,2017,"Castle On The Hill","ed sheeran","ed sheeran",6,39,33,48,"-9","[u'pop']","pop",0.834,0.14,135.007,0.0989,0.0232,"1.14E-05","4",0.461,"2",261154,-4.868,0.471,"1","Sep","Fall"
2017-09-09,2017,"Drowning","a boogie wit da hoodie","a boogie wit da hoodie",38,41,21,46,"-5","[u'dwn trap', u'pop', u'rap', u'trap music']","rap",0.81,0.117,129.014,0.0568,0.501,"0","4",0.839,"5",209269,-5.274,0.814,"0","Sep","Fall"
2017-09-09,2017,"Now Or Never","halsey","halsey",17,32,20,40,"-8","[u'dance pop', u'etherpop', u'indie poptimism', u'pop', u'post-teen pop']","rock",0.588,0.125,110.075,0.0367,0.105,"1.28E-06","4",0.658,"6",214802,-4.902,0.434,"0","Sep","Fall"
2017-09-09,2017,"Everyday We Lit","yfn lucci","yfn lucci",33,40,20,43,"-3","[u'dwn trap', u'rap', u'southern hip hop', u'trap music']","rap",0.646,0.0778,155.955,0.112,0.128,"0","4",0.758,"7",197171,-4.701,0.589,"1","Sep","Fall"
2017-09-02,2017,"In Case You Didn't Know","brett young","brett young",19,41,28,45,"-4","[u'contemporary country']","country",0.542,0.104,148.003,0.0304,0.357,"0","4",0.599,"10",224853,-7.274,0.383,"1","Sep","Fall"
2017-09-02,2017,"Slippery","migos","migos",29,37,21,46,"-9","[u'pop', u'rap', u'trap music']","rap",0.674,0.104,141.967,0.264,0.307,"0","4",0.92,"1",304041,-5.662,0.741,"0","Sep","Fall"
2017-08-26,2017,"Issues","julia michaels","julia michaels",11,39,29,44,"-5","[u'dance pop', u'pop', u'post-teen pop']","pop",0.42,0.061,113.975,0.0811,0.427,"0","4",0.725,"8",176320,-6.811,0.424,"1","Aug","Summer"
2017-08-19,2017,"Rolex","ayo","ayo",20,50,25,49,"1","[u'dwn trap']","rap",0.886,0.266,144.946,0.04,0.0837,"0","4",0.804,"1",238587,-2.512,0.789,"1","Aug","Summer"
2017-08-12,2017,"Closer","the chainsmokers","the chainsmokers",1,36,52,39,"-3","[u'edm', u'pop', u'tropical house']","edm",0.524,0.111,95.01,0.0338,0.414,"0","4",0.748,"8",244960,-5.599,0.661,"1","Aug","Summer"
2017-08-12,2017,"In The End","linkin park","linkin park",2,0,39,37,"Re-Entry","[u'alternative metal', u'nu metal', u'post-grunge', u'rap metal']","rock",0.853,0.108,105.256,0.0498,0.0103,"0","4",0.542,"3",216933,-6.407,0.37,"0","Aug","Summer"
2017-08-12,2017,"Numb","linkin park","linkin park",11,0,33,34,"Re-Entry","[u'alternative metal', u'nu metal', u'post-grunge', u'rap metal']","rock",0.863,0.639,110.018,0.0381,0.0046,"0","4",0.496,"9",185587,-4.153,0.243,"1","Aug","Summer"
2017-08-12,2017,"The Fighter","keith urban","keith urban",38,0,23,47,"Re-Entry","[u'australian country', u'contemporary country', u'country', u'country road']","country",0.845,0.197,132.023,0.0525,0.0304,"0","4",0.681,"11",184040,-5.147,0.761,"0","Aug","Summer"
2017-08-05,2017,"24K Magic","bruno mars","bruno mars",4,48,41,50,"-2","[u'dance pop', u'pop', u'post-teen pop']","pop",0.803,0.153,106.97,0.0797,0.034,"0","4",0.818,"1",225983,-4.282,0.632,"1","Aug","Summer"
2017-08-05,2017,"Bad And Boujee","migos","migos",1,43,36,45,"-2","[u'pop', u'rap', u'trap music']","rap",0.665,0.123,127.076,0.244,0.061,"0","4",0.927,"11",343150,-5.313,0.175,"1","Aug","Summer"
2017-08-05,2017,"iSpy","kyle","kyle",4,39,30,46,"-7","[u'pop', u'pop rap', u'rap']","rap",0.653,0.229,75.016,0.289,0.378,"0","4",0.746,"7",253107,-6.745,0.672,"1","Aug","Summer"
2017-07-29,2017,"Hurricane","luke combs","luke combs",31,46,22,50,"-4","[u'contemporary country', u'country road']","country",0.813,0.254,75.975,0.0416,0.0153,"0","4",0.464,"10",222533,-6.185,0.516,"1","Jul","Summer"
2017-07-29,2017,"Slide","calvin harris","calvin harris",25,32,20,45,"-13","[u'dance pop', u'edm', u'electro house', u'house', u'pop', u'progressive house']","edm",0.795,0.254,104.066,0.0545,0.498,"1.21E-06","4",0.736,"1",230813,-3.299,0.511,"0","Jul","Summer"
2017-07-22,2017,"Goosebumps","travis scott","travis scott",32,42,34,47,"-5","[u'pop', u'pop rap', u'rap', u'trap music']","rap",0.728,0.149,130.049,0.0484,0.0847,"0","4",0.841,"7",243837,-3.37,0.43,"1","Jul","Summer"
2017-07-22,2017,"T-Shirt","migos","migos",19,49,25,48,"1","[u'pop', u'rap', u'trap music']","rap",0.687,0.158,139.023,0.217,0.242,"0","4",0.865,"10",242407,-3.744,0.486,"0","Jul","Summer"
2017-07-08,2017,"Scars To Your Beautiful","alessia cara","alessia cara",8,49,43,45,"4","[u'dance pop', u'pop', u'post-teen pop']","pop",0.741,0.11,97.048,0.139,0.0294,"0","4",0.591,"0",230227,-5.751,0.452,"1","Jul","Summer"
